tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,38952,8636,6629272,132918,2017-08-01 16:23:56
892177421306343426,33352,6343,6629272,132918,2017-08-01 00:17:27
891815181378084864,25127,4209,6629272,132918,2017-07-31 00:18:03
891689557279858688,42300,8755,6629272,132918,2017-07-30 15:58:51
891327558926688256,40458,9517,6629272,132918,2017-07-29 16:00:24
891087950875897856,20292,3154,6629272,132918,2017-07-29 00:08:17
890971913173991426,11899,2100,6629272,132918,2017-07-28 16:27:12
890729181411237888,65802,19146,6629272,132918,2017-07-28 00:22:40
890609185150312448,27870,4319,6629272,132918,2017-07-27 16:25:51
890240255349198849,32054,7514,6629272,132918,2017-07-26 15:59:51
890006608113172480,30764,7436,6629272,132918,2017-07-26 00:31:25
889880896479866881,27891,5027,6629272,132918,2017-07-25 16:11:53
889665388333682689,48276,10188,6629272,132918,2017-07-25 01:55:32
889638837579907072,27279,4598,6629272,132918,2017-07-25 00:10:02
889531135344209921,15140,2262,6629272,132918,2017-07-24 17:02:04
889278841981685760,25392,5501,6629272,132918,2017-07-24 00:19:32
888917238123831296,29190,4564,6629272,132918,2017-07-23 00:22:39
888804989199671297,25692,4396,6629273,132918,2017-07-22 16:56:37
888554962724278272,19997,3629,6629273,132918,2017-07-22 00:23:06
888078434458587136,21848,3543,6629273,132918,2017-07-20 16:49:33
887705289381826560,30303,5464,6629273,132918,2017-07-19 16:06:48
887517139158093824,46409,11807,6629273,132918,2017-07-19 03:39:09
887473957103951883,69376,18454,6629273,132918,2017-07-19 00:47:34
887343217045368832,33815,10533,6629273,132918,2017-07-18 16:08:03
887101392804085760,30668,6038,6629273,132918,2017-07-18 00:07:08
886983233522544640,35288,7862,6629273,132918,2017-07-17 16:17:36
886736880519319552,12124,3340,6629273,132918,2017-07-16 23:58:41
886680336477933568,22519,4528,6629273,132918,2017-07-16 20:14:00
886366144734445568,21198,3225,6629273,132918,2017-07-15 23:25:31
886267009285017600,116,4,6629274,132918,2017-07-15 16:51:35
886258384151887873,28068,6376,6629274,132918,2017-07-15 16:17:19
886054160059072513,0,105,6629274,132918,2017-07-15 02:45:48
885984800019947520,32839,6897,6629274,132918,2017-07-14 22:10:11
885528943205470208,36143,6521,6629274,132918,2017-07-13 15:58:47
885518971528720385,20500,3810,6629274,132918,2017-07-13 15:19:09
885311592912609280,0,18802,6629274,132918,2017-07-13 01:35:06
885167619883638784,22025,4437,6629274,132918,2017-07-12 16:03:00
884925521741709313,77857,18684,6629274,132918,2017-07-12 00:01:00
884876753390489601,28042,5870,6629275,132918,2017-07-11 20:47:12
